Name	Blank	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
SUPT6H_1		7.578103403	7.819312394	7.973112784	8.038079639	8.202152063	8.081356631	7.741152046	8.23172856	7.963210807	7.80079568
DDX4_1		11.31662708	11.16098039	11.9010724	11.85490025	10.93369798	11.06999683	11.37696845	11.09485977	10.82884621	10.94114656
CUL-2_1		2.006222944	2.059044656	0	2.278190476	4.146450484	5.479370073	4.061023983	4.823128301	5.447422224	5.019569604
THNSL2_1		6.284309032	6.031169204	5.55033352	6.237385998	6.587536371	7.052519488	5.776070437	7.095490209	6.460820692	6.463586228
HERC2_1		6.137456213	6.226875765	5.236081545	6.212630453	6.376679941	6.371089885	6.116223629	6.373707954	6.445886194	6.273274565
UNC-5_1		5.866129753	5.831678343	5.132107854	5.048284023	5.736279016	5.324427725	5.518291879	5.932561662	5.927677933	5.761563757
HERC2_2		6.074257097	6.306004556	5.28538706	6.285658057	6.54327046	6.289652626	6.24971183	6.246055071	6.430795479	6.48441091
ATP9B_1		7.047147425	7.031783463	7.61646999	7.071362006	7.065544238	7.24627429	6.732755412	7.02809445	7.252582317	7.328687608
CUL1_1		6.515995094	5.959553461	5.333063047	5.997622791	6.244686163	5.356776062	6.732755412	6.794564915	6.642087795	6.798962588
SFXN2_1		7.578103403	7.865759236	7.911634769	7.920710199	7.342366918	7.751056673	7.710600253	7.476630069	7.375892715	7.652274558
TDP2_1		7.316578176	6.910423294	6.925411117	6.832302972	7.512739312	6.745573694	6.890990304	7.302180653	7.319656576	7.362827928
RPL7_1		0	0	9.011115313	0	0	0	0	0	0	8.297964834
POLR3A_1		6.467628975	6.286625507	5.379213781	6.641465385	6.364010911	6.757738081	6.702023373	6.763820512	6.602232678	6.545139929
NHE1_1		4.137101818	3.530696166	3.67728004	4.144562851	4.874476198	4.039667271	3.960742273	4.862353909	4.863994119	3.855293163
EMC3_1		5.577972853	5.285595764	6.083784919	5.744863952	5.696410065	5.697135296	5.620430746	5.817516989	5.590090486	6.025852569
CLN3_1		5.434363782	4.466889274	4.540747807	5.256382423	4.874476198	4.190868264	4.858984045	4.411819589	5.072825629	5.102731224
RPS9_1		11.58807594	11.50862612	12.12538678	11.90308011	11.10859321	10.95584521	11.35182298	11.19812072	11.04370499	10.85681559
ALG9_1		7.893952723	7.885216213	8.460122581	8.222972708	8.095066149	8.052022674	7.748689961	8.186079678	8.103047369	8.065518065
SKIV2L_1		8.424008867	8.372579459	8.176286632	8.472746202	7.858147733	8.066764206	7.938614424	7.538483018	7.831517886	7.845748348
ABCG1_1		6.65206482	7.04337635	7.269675515	6.505406226	7.335893837	6.981686031	5.833910655	7.671420952	7.303178093	7.251823009
TRAPPC2		7.459455176	7.18617391	7.420743364	7.671032144	7.471995079	7.590306067	7.467333817	7.431698999	7.680218358	7.334434061
MTA1-LIKE		9.389821864	9.579933338	9.314040249	9.783857391	9.938179495	10.15758553	10.01455595	10.03027929	10.26676255	10.0166071
SLC9A8		3.53113417	2.87464067	3.521383169	3.918310162	4.26021279	3.957676726	3.144967749	3.834285873	3.677252185	4.470658809
NMD3		11.09375996	11.14156066	11.74460084	11.59902499	10.91699043	10.76113404	10.98702256	10.88112865	10.87208205	10.83113396
MRPS35_1		4.735899747	5.600107384	5.703291691	5.43821327	4.838295189	5.291337398	5.066235465	4.862353909	4.818338833	4.990748563
RH2_1		6.008162122	5.934869142	5.628838783	7.112088483	5.222069229	5.908292736	6.2065737	5.14281449	6.20105827	5.907482422
PDE12		3.329392413	3.980008167	4.063845314	3.918310162	3.384670478	3.679386452	3.960742273	4.411819589	2.877730736	3.721358096
PRDX6		11.10467327	10.86932108	11.23288086	11.06646037	10.87575011	10.78063934	10.71229222	10.71226871	10.64655593	10.72631043
HIGD2A_1		8.979818393	8.939124349	9.593922871	9.06675155	8.434991871	8.333785145	8.840114376	8.20908466	8.359639853	8.528502141
ALDH4A1_1		7.77974294	7.85264059	8.523140828	8.140065368	7.399353688	7.346327543	7.411441706	7.273366375	7.117738872	7.317125575
MYO15_1		6.853709466	6.381018038	5.628838783	6.02631748	6.576596572	5.841283099	6.429303216	5.932561662	5.744530207	6.730881717
XPO1_1		4.562528307	3.656806373	3.346576121	4.340096366	3.48168538	4.820571944	5.369782077	5.14281449	5.255215711	4.736760586
EIF4G_1		7.611875146	7.878759666	7.919464324	7.706926602	7.495418205	7.867890334	7.555929113	7.574360654	7.614957139	7.465898667
VHA16		13.13982586	12.67856645	12.95330915	12.79888955	13.57618378	13.50658269	13.01157383	13.6206944	13.43221678	13.48699691
SMC1_1		5.902970115	5.631169528	4.694673145	5.778988684	5.135266951	4.674230498	5.017146471	5.45655237	5.220535851	5.953016873
KRT9_1		2.466218956	4.719009342	4.540747807	5.876771696	2.914276483	0	2.455025236	0	0	0
ABCF1_1		5.749603753	5.075820452	5.967757528	6.054452555	5.954800046	5.671645595	5.017146471	5.506929437	5.477106904	5.416237685
POLR3B_1		9.134980991	8.9667838	9.832383454	9.425649548	8.818357332	8.653191622	8.737776582	8.588226676	8.745394618	8.560725379
CNOT1_1		9.742144319	9.795787167	10.33063094	9.906623407	9.873727469	10.05658182	9.8261237	9.635295853	9.83107668	10.0183931
SMC4_1		10.108289	10.07389374	10.0830052	10.04801904	11.313152	11.39896837	10.40758327	11.26093228	11.31219475	11.50611119
LGI4_1		8.971170745	8.832912439	8.868753823	8.462283469	9.132193938	9.548377793	8.833040458	10.27883863	9.743712828	9.735329175
LSM3		7.316578176	7.601349353	8.039281753	8.016787907	7.374303711	7.576637647	7.3826621	8.114778271	7.503980501	7.417992255
CYP4V2_1		6.996910895	7.37233698	7.232446825	6.731349429	6.968452537	6.54961014	6.806837927	7.316374816	7.098768546	6.918552639
PHF3_1		6.853709466	6.935525793	7.219820672	6.109128297	6.752151997	6.928873083	7.045862229	6.844392987	6.989723621	6.839937339
AP1M1_1		10.1813366	10.01623288	10.2614715	10.10629834	10.23371917	10.24010503	10.18119577	10.30131403	10.2170506	10.21108741
ABCF1_2		6.872406485	5.934869142	6.083784919	6.565295015	6.609170204	6.448174762	6.2065737	6.678480611	6.445886194	6.453060069
PPP2R5E		10.12202601	10.09354265	9.372249122	9.895000877	10.34266136	10.37651439	10.2689951	10.49001961	10.46496034	10.44950327
TTC9B_1		5.902970115	5.468705064	5.077168957	5.304033348	6.376679941	5.908292736	5.159669963	5.817516989	6.20105827	6.48441091
KDM3A		9.609122775	9.611428153	9.584104627	9.398468037	9.337305193	9.351750946	9.178257255	8.971265568	8.983772	9.196614865
TRMT11		6.442823954	6.960198974	7.181265348	6.54560703	6.943123149	7.00228151	6.555002616	6.667449234	6.68087143	6.798962588
DIP2_1		9.558064945	9.457465219	8.719786333	9.412122807	9.082793229	9.236959136	9.635993774	9.030582467	9.273230501	9.199766374
MOCS3		5.434363782	5.324124127	5.333063047	5.560968624	5.105132154	5.388414958	5.159669963	5.45655237	5.185001772	5.019569604
BRE-2_1		4.137101818	3.880108694	4.540747807	0	3.956984842	4.621954368	4.478669577	3.667136833	3.332182341	4.245192481
EIF4G_2		10.79863514	10.48222211	10.83470068	10.78303886	10.62939508	10.54653793	10.56102701	10.46475398	10.55817956	10.39555334
INTS1_1		9.043074508	9.304486259	9.613361152	9.195507876	8.62218431	8.996385691	9.08307951	8.805059142	8.865297891	8.570497147
GID8_1		7.28900891	7.32562779	7.375922749	7.346328008	6.99334488	7.24627429	7.229465856	6.966424532	6.97938926	6.739569607
REC8_1		8.175680697	7.996749809	8.29539719	8.216761657	8.64068484	8.819095183	8.08871003	8.387739576	8.302753871	8.51844074
MRPL48		8.033399133	8.020406193	8.664952754	8.307231399	7.928671181	7.867890334	7.687254183	7.895955992	7.931397336	8.155912973
REG1A_1		8.796175163	9.222724899	9.222071484	8.414238851	9.094344454	9.38546028	8.847153777	10.14606435	9.770931376	9.711239145
MFSD1_1		8.872459711	8.439913539	8.852487079	8.777075392	8.80904022	8.719994903	8.854158998	8.876253342	8.944466387	8.727225848
DH31_1		6.67354577	6.647255278	7.114624421	6.484877793	6.47421585	6.417833248	7.151997337	5.914013401	6.336777995	6.285191954
POLR3B_2		8.949322093	8.774985244	8.336914212	9.1473364	8.635423138	8.64339068	8.90900891	8.794957639	8.481812657	8.620740447
CPNE8_1		9.309774401	9.356528027	9.688596529	9.299085051	9.321010312	9.288176835	9.219527702	9.435207143	9.535523605	9.439912451
INF2		7.687731078	7.826039912	7.567481717	8.113566301	7.228168182	6.939591472	7.494488298	7.580254465	7.594788883	7.401663299
RH2_4		7.17314062	7.335091394	6.652273272	7.04355795	6.576596572	7.839556909	7.185708743	6.633839789	7.278101995	6.807251167
CHST9_1		9.123320048	8.207212286	7.663849299	8.839042322	6.661876691	7.76317511	9.567319906	6.200864395	6.20105827	5.828244626
CASD1_2		8.066252008	7.495608453	7.797310618	6.355166506	4.204452674	4.773421785	6.291597445	1.740137277	1.492758718	3.721358096
RIP11_1		8.332446059	7.859214824	8.189297853	8.172519071	8.226851729	8.762871556	8.454059544	8.534597762	8.573983156	8.560725379
CLR-1_1		4.255783623	4.243891081	3.67728004	3.790317358	3.280658395	4.260913698	4.154785853	3.575690445	4.389355242	4.339647526
ITPR83A_1		9.184450166	9.119715855	8.920388668	8.859120284	9.363000134	9.452476423	8.778850694	9.193247295	9.100421462	9.249276151
ALDH7A1_1		5.708572027	5.535901742	6.216814117	5.997622791	5.736279016	6.185442393	5.916542556	6.089565806	6.031360887	6.285191954
TANGO9_1		6.442823954	5.600107384	0	0	0	5.419374865	0	5.404352353	0	0
DBP80		10.52201325	10.17088858	10.51115773	10.48528321	10.96968287	10.88483213	10.88725311	11.09434503	10.92150124	10.93312123
A4GNT_1		5.828323935	6.077011292	6.450911429	5.350160596	5.164785154	5.536969642	5.943067229	5.235362872	5.768736103	5.479841426
BTF3L4_1		12.56467624	12.91955856	13.07397015	13.00147964	12.5633727	12.58900486	12.67848528	12.66714708	12.50168651	12.41404284
HPX6_1		7.837977702	8.008626488	8.074771897	7.586847436	7.081109418	7.541889078	7.555929113	6.490978277	7.235314911	7.481520367
DDX4_2		9.952262829	9.493831465	9.433677815	10.15583616	9.342157983	9.381535114	9.982947554	9.638123887	9.440779409	9.327714171
RFC4_1		7.698249243	7.819312394	8.123035561	7.995177233	7.783998899	7.643720441	7.971198144	8.227979172	7.814177758	7.638404991
HTATIP2		8.492083992	8.457350912	8.588440663	8.235315163	8.565215193	8.666156823	8.353829513	8.670643066	8.742341955	8.759620211
SRP9		7.893952723	7.90441427	8.593343405	8.247552921	8.129158199	7.527751868	7.564496607	7.881708522	7.496752641	7.81730462
USP9X_1		3.708094922	3.656806373	3.67728004	1.834762894	4.086018336	3.458708595	4.616883581	3.834285873	4.818338833	5.394397667
FBXO21_1		5.274863092	5.163423443	5.841576171	6.187442694	5.591633409	5.645697426	5.066235465	5.14281449	5.694864852	5.618176842
CPNE8_2		9.734499707	9.759346843	10.0830052	9.717221176	9.926379352	9.84341197	9.88031467	10.10883227	10.04066549	9.91288856
FZR1_1		9.757313082	9.674292557	9.620583511	9.715019525	9.721895227	9.60165149	9.603105362	9.837062322	9.743712828	9.595169099
CCT4		8.602594521	8.465991195	8.646201772	8.839042322	8.763943166	8.450792715	8.878412821	8.73809853	8.535704127	8.510848373
RH2_5		10.23650186	9.965341383	9.938296616	10.05151318	9.181764831	9.934638426	9.97010771	8.844772381	9.97586304	9.617729132
FOXC1		8.820450221	9.130625842	8.583521203	8.079742986	8.581722922	8.34994541	8.383184201	8.411074864	8.379424662	8.477478419
FBXO21_2		4.467347081	5.804684672	6.450911429	6.309201606	5.569732981	5.771008777	5.518291879	5.555606593	5.590090486	5.618176842
RANBP9_1		7.013851517	6.832383669	5.590120075	6.622796489	6.54327046	6.185442393	6.917984545	6.360069433	6.53325863	6.603415539
GINT3_2		6.853709466	6.763962463	6.191171532	6.237385998	5.849672929	6.033640622	6.686408322	6.154212276	6.475602173	6.249140328
CAND1_1		7.818826116	7.296858711	6.893965991	7.689091003	7.235141899	7.228902741	7.932008431	7.556533361	7.503980501	7.29960691
